Date,Direction
2020-04-19,Incoming
2020-04-19,Incoming
2020-04-19,Outgoing
2020-04-19,Outgoing
2020-04-19,Incoming
2020-04-19,Outgoing
2020-04-19,Outgoing
2020-04-19,Incoming
2020-04-19,Outgoing
2020-04-19,Outgoing
2020-04-19,Incoming
2020-04-19,Outgoing
2020-04-19,Outgoing
2020-04-19,Incoming
2020-04-19,Outgoing
2020-04-19,Incoming
2020-04-19,Incoming
2020-04-19,Outgoing
2020-04-19,Outgoing
2020-04-19,Incoming
2020-04-19,Outgoing
2020-04-19,Incoming
2020-04-19,Outgoing
2020-04-19,Incoming
2020-04-19,Outgoing
2020-04-19,Incoming
2020-04-19,Incoming
2020-04-19,Outgoing
2020-04-19,Incoming
2020-04-19,Outgoing
2020-04-19,Incoming
2020-04-19,Incoming
2020-04-19,Incoming
2020-04-19,Outgoing
2020-04-19,Outgoing
2020-04-19,Outgoing
2020-04-19,Incoming
2020-04-19,Outgoing
2020-04-19,Outgoing
2020-04-19,Incoming
2020-04-19,Outgoing
2020-04-19,Incoming
2020-04-19,Outgoing
2020-04-19,Incoming
2020-04-19,Incoming
2020-04-19,Outgoing
2020-04-19,Outgoing
2020-04-19,Incoming
2020-04-19,Outgoing
2020-04-19,Incoming
2020-04-19,Outgoing
2020-04-19,Incoming
2020-04-19,Outgoing
2020-04-19,Incoming
2020-04-18,Outgoing
2020-04-18,Incoming
2020-04-18,Incoming
2020-04-18,Outgoing
2020-04-18,Incoming
2020-04-18,Incoming
2020-04-18,Incoming
2020-04-18,Outgoing
2020-04-18,Outgoing
2020-04-18,Incoming
2020-04-18,Outgoing
2020-04-18,Incoming
2020-04-18,Outgoing
2020-04-18,Incoming
2020-04-18,Outgoing
2020-04-18,Outgoing
2020-04-18,Outgoing
2020-04-18,Incoming
2020-04-18,Outgoing
2020-04-18,Incoming
2020-04-18,Outgoing
2020-04-18,Outgoing
2020-04-18,Incoming
2020-04-18,Incoming
2020-04-18,Outgoing
2020-04-18,Incoming
2020-04-18,Outgoing
2020-04-18,Incoming
2020-04-18,Incoming
2020-04-18,Incoming
2020-04-18,Outgoing
2020-04-18,Incoming
2020-04-18,Outgoing
2020-04-18,Incoming
2020-04-18,Outgoing
2020-04-18,Incoming
2020-04-18,Outgoing
2020-04-18,Incoming
2020-04-18,Outgoing
2020-04-18,Incoming
2020-04-18,Outgoing
2020-04-18,Outgoing
2020-04-18,Incoming
2020-04-18,Incoming
2020-04-18,Outgoing
2020-04-18,Incoming
2020-04-18,Incoming
2020-04-18,Outgoing
2020-04-18,Incoming
2020-04-18,Incoming
2020-04-18,Incoming
2020-04-18,Incoming
2020-04-18,Incoming
2020-04-18,Outgoing
2020-04-18,Outgoing
2020-04-18,Incoming
2020-04-18,Outgoing
2020-04-18,Incoming
2020-04-18,Outgoing
2020-04-18,Outgoing
2020-04-18,Incoming
2020-04-18,Incoming
2020-04-18,Incoming
2020-04-18,Outgoing
2020-04-18,Outgoing
2020-04-18,Outgoing
2020-04-18,Incoming
2020-04-18,Incoming
2020-04-18,Incoming
2020-04-18,Incoming
2020-04-18,Outgoing
2020-04-18,Outgoing
2020-04-18,Incoming
2020-04-18,Incoming
2020-04-18,Outgoing
2020-04-18,Incoming
2020-04-18,Outgoing
2020-04-18,Incoming
2020-04-18,Outgoing
2020-04-18,Incoming
2020-04-17,Incoming
2020-04-17,Outgoing
2020-04-17,Incoming
2020-04-17,Outgoing
2020-04-17,Outgoing
2020-04-17,Incoming
2020-04-17,Outgoing
2020-04-17,Outgoing
2020-04-17,Outgoing
2020-04-17,Incoming
2020-04-17,Outgoing
2020-04-17,Outgoing
2020-04-17,Incoming
2020-04-17,Outgoing
2020-04-17,Incoming
2020-04-17,Outgoing
2020-04-17,Incoming
2020-04-17,Outgoing
2020-04-17,Outgoing
2020-04-17,Outgoing
2020-04-17,Outgoing
2020-04-17,Outgoing
2020-04-17,Outgoing
2020-04-17,Incoming
2020-04-17,Outgoing
2020-04-17,Incoming
2020-04-17,Incoming
2020-04-17,Outgoing
2020-04-17,Incoming
2020-04-17,Incoming
2020-04-17,Outgoing
2020-04-17,Incoming
2020-04-17,Outgoing
2020-04-17,Outgoing
2020-04-17,Outgoing
2020-04-16,Outgoing
2020-04-16,Incoming
2020-04-16,Outgoing
2020-04-16,Outgoing
2020-04-16,Incoming
2020-04-16,Incoming
2020-04-16,Outgoing
2020-04-16,Outgoing
2020-04-16,Incoming
2020-04-16,Outgoing
2020-04-16,Incoming
2020-04-16,Incoming
2020-04-16,Outgoing
2020-04-16,Incoming
2020-04-16,Incoming
2020-04-16,Outgoing
2020-04-16,Outgoing
2020-04-16,Incoming
2020-04-16,Incoming
2020-04-16,Outgoing
2020-04-16,Incoming
2020-04-16,Outgoing
2020-04-16,Outgoing
2020-04-16,Incoming
2020-04-16,Outgoing
2020-04-16,Incoming
2020-04-16,Outgoing
2020-04-16,Outgoing
2020-04-16,Incoming
2020-04-16,Incoming
2020-04-16,Outgoing
2020-04-16,Incoming
2020-04-16,Outgoing
2020-04-16,Incoming
2020-04-16,Incoming
2020-04-16,Incoming
2020-04-16,Outgoing
2020-04-16,Incoming
2020-04-16,Outgoing
2020-04-16,Incoming
2020-04-16,Outgoing
2020-04-16,Incoming
2020-04-16,Incoming
2020-04-16,Outgoing
2020-04-16,Outgoing
2020-04-16,Incoming
2020-04-16,Incoming
2020-04-16,Outgoing
2020-04-16,Outgoing
2020-04-16,Outgoing
2020-04-16,Incoming
2020-04-16,Incoming
2020-04-16,Incoming
2020-04-16,Outgoing
2020-04-16,Incoming
2020-04-16,Incoming
2020-04-16,Outgoing
2020-04-16,Incoming
2020-04-16,Outgoing
2020-04-16,Outgoing
2020-04-16,Outgoing
2020-04-16,Incoming
2020-04-16,Incoming
2020-04-16,Outgoing
2020-04-16,Incoming
2020-04-16,Outgoing
2020-04-16,Incoming
2020-04-16,Incoming
2020-04-16,Outgoing
2020-04-15,Outgoing
2020-04-15,Outgoing
2020-04-15,Incoming
2020-04-15,Outgoing
2020-04-15,Incoming
2020-04-15,Incoming
2020-04-15,Outgoing
2020-04-15,Outgoing
2020-04-15,Outgoing
2020-04-15,Outgoing
2020-04-15,Incoming
2020-04-15,Incoming
2020-04-15,Incoming
2020-04-15,Outgoing
2020-04-15,Outgoing
2020-04-15,Incoming
2020-04-15,Incoming
2020-04-15,Outgoing
2020-04-15,Outgoing
2020-04-15,Outgoing
2020-04-15,Incoming
2020-04-15,Incoming
2020-04-15,Incoming
2020-04-15,Outgoing
2020-04-15,Outgoing
2020-04-15,Outgoing
2020-04-15,Incoming
2020-04-15,Outgoing
2020-04-15,Outgoing
2020-04-15,Incoming
2020-04-15,Outgoing
2020-04-15,Incoming
2020-04-15,Outgoing
2020-04-15,Outgoing
2020-04-15,Incoming
2020-04-15,Incoming
2020-04-15,Outgoing
2020-04-15,Outgoing
2020-04-15,Incoming
2020-04-15,Incoming
2020-04-15,Outgoing
2020-04-15,Outgoing
2020-04-15,Incoming
2020-04-15,Incoming
2020-04-15,Outgoing
2020-04-15,Outgoing
2020-04-15,Outgoing
2020-04-15,Incoming
2020-04-15,Incoming
2020-04-15,Outgoing
2020-04-15,Outgoing
2020-04-15,Incoming
2020-04-14,Incoming
2020-04-14,Incoming
2020-04-14,Incoming
2020-04-14,Incoming
2020-04-14,Outgoing
2020-04-14,Incoming
2020-04-14,Outgoing
2020-04-14,Outgoing
2020-04-14,Incoming
2020-04-14,Incoming
2020-04-14,Outgoing
2020-04-14,Outgoing
2020-04-14,Outgoing
